album,artists,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,artist
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,29826,True,{'isrc': 'USIR10211051'},{'spotify': 'https://open.spotify.com/track/16bZ4F7gikXyMYhlDJpGDd'},https://api.spotify.com/v1/tracks/16bZ4F7gikXyMYhlDJpGDd,16bZ4F7gikXyMYhlDJpGDd,False,True,Curtains Up - Skit,28,,1,track,spotify:track:16bZ4F7gikXyMYhlDJpGDd,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,324546,True,{'isrc': 'USIR10211052'},{'spotify': 'https://open.spotify.com/track/7HUQjZDqbet6uQW1p3EDGc'},https://api.spotify.com/v1/tracks/7HUQjZDqbet6uQW1p3EDGc,7HUQjZDqbet6uQW1p3EDGc,False,True,White America,56,,2,track,spotify:track:7HUQjZDqbet6uQW1p3EDGc,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,251720,True,{'isrc': 'USIR10211053'},{'spotify': 'https://open.spotify.com/track/6sWiC5rpM1o3rnjCgd0hEG'},https://api.spotify.com/v1/tracks/6sWiC5rpM1o3rnjCgd0hEG,6sWiC5rpM1o3rnjCgd0hEG,False,True,Business,56,,3,track,spotify:track:6sWiC5rpM1o3rnjCgd0hEG,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,297840,True,{'isrc': 'USIR10211054'},{'spotify': 'https://open.spotify.com/track/6XK173kEu52iupeIqOnp41'},https://api.spotify.com/v1/tracks/6XK173kEu52iupeIqOnp41,6XK173kEu52iupeIqOnp41,False,True,Cleanin' Out My Closet,55,,4,track,spotify:track:6XK173kEu52iupeIqOnp41,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,323720,True,{'isrc': 'USIR10211055'},{'spotify': 'https://open.spotify.com/track/10WTBqxaEVRDwbIaZB1jpr'},https://api.spotify.com/v1/tracks/10WTBqxaEVRDwbIaZB1jpr,10WTBqxaEVRDwbIaZB1jpr,False,True,Square Dance,54,,5,track,spotify:track:10WTBqxaEVRDwbIaZB1jpr,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,75920,True,{'isrc': 'USIR10211056'},{'spotify': 'https://open.spotify.com/track/2eNapbICAkn6d1MUds2Epk'},https://api.spotify.com/v1/tracks/2eNapbICAkn6d1MUds2Epk,2eNapbICAkn6d1MUds2Epk,False,True,The Kiss - Skit,50,,6,track,spotify:track:2eNapbICAkn6d1MUds2Epk,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,226213,True,{'isrc': 'USIR10211057'},{'spotify': 'https://open.spotify.com/track/5EsHoPnPa7kUrWs4z59woh'},https://api.spotify.com/v1/tracks/5EsHoPnPa7kUrWs4z59woh,5EsHoPnPa7kUrWs4z59woh,False,True,Soldier,53,,7,track,spotify:track:5EsHoPnPa7kUrWs4z59woh,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,272840,True,{'isrc': 'USIR10211071'},{'spotify': 'https://open.spotify.com/track/1jOLnpp2wkAL0jhasidwFi'},https://api.spotify.com/v1/tracks/1jOLnpp2wkAL0jhasidwFi,1jOLnpp2wkAL0jhasidwFi,False,True,Say Goodbye Hollywood,52,,8,track,spotify:track:1jOLnpp2wkAL0jhasidwFi,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2XnnxQzxFZG8qEPjakokPM'}, 'href': 'https://api.spotify.com/v1/artists/2XnnxQzxFZG8qEPjakokPM', 'id': '2XnnxQzxFZG8qEPjakokPM', 'name': 'Obie Trice', 'type': 'artist', 'uri': 'spotify:artist:2XnnxQzxFZG8qEPjakokPM'}]",1,285640,True,{'isrc': 'USIR10211059'},{'spotify': 'https://open.spotify.com/track/0TcX5vH9A3glxz0ihSwTuV'},https://api.spotify.com/v1/tracks/0TcX5vH9A3glxz0ihSwTuV,0TcX5vH9A3glxz0ihSwTuV,False,True,Drips,51,,9,track,spotify:track:0TcX5vH9A3glxz0ihSwTuV,Eminem
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/6EzbFdrwvWpnpUjzrR57aU'}, 'href': 'https://api.spotify.com/v1/albums/6EzbFdrwvWpnpUjzrR57aU', 'id': '6EzbFdrwvWpnpUjzrR57aU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a18291a1854b9b6371ff9663', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a18291a1854b9b6371ff9663', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a18291a1854b9b6371ff9663', 'width': 64}], 'name': 'The Eminem Show (Expanded Edition)', 'release_date': '2022-05-26', 'release_date_precision': 'day', 'total_tracks': 38, 'type': 'album', 'uri': 'spotify:album:6EzbFdrwvWpnpUjzrR57aU'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",1,290320,True,{'isrc': 'USIR10211038'},{'spotify': 'https://open.spotify.com/track/2w3ZAK00v15FMnJpyFN4GY'},https://api.spotify.com/v1/tracks/2w3ZAK00v15FMnJpyFN4GY,2w3ZAK00v15FMnJpyFN4GY,False,True,Without Me,54,,10,track,spotify:track:2w3ZAK00v15FMnJpyFN4GY,Eminem
