album,artists,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,artist
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}]",1,113217,True,{'isrc': 'USWB12103310'},{'spotify': 'https://open.spotify.com/track/2EFqMCOdTTkcFYHoJH21Jr'},https://api.spotify.com/v1/tracks/2EFqMCOdTTkcFYHoJH21Jr,2EFqMCOdTTkcFYHoJH21Jr,False,True,Inside Outside,62,https://p.scdn.co/mp3-preview/64db1cbde44db93d75657b3880a714a5ed58dfb5?cid=d1ecea0a2c2e48698143f80110609734,1,track,spotify:track:2EFqMCOdTTkcFYHoJH21Jr,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}]",1,167759,True,{'isrc': 'USWB12103311'},{'spotify': 'https://open.spotify.com/track/40dlJFdqfm8CayhmmS9UB7'},https://api.spotify.com/v1/tracks/40dlJFdqfm8CayhmmS9UB7,40dlJFdqfm8CayhmmS9UB7,False,True,Here We Go,62,https://p.scdn.co/mp3-preview/2fc939f34d384f20eeca9035dab7520b61ea5edc?cid=d1ecea0a2c2e48698143f80110609734,2,track,spotify:track:40dlJFdqfm8CayhmmS9UB7,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m'}, 'href': 'https://api.spotify.com/v1/artists/5IcR3N7QB1j6KBL8eImZ8m', 'id': '5IcR3N7QB1j6KBL8eImZ8m', 'name': 'ScHoolboy Q', 'type': 'artist', 'uri': 'spotify:artist:5IcR3N7QB1j6KBL8eImZ8m'}]",1,398454,True,{'isrc': 'USWB12103312'},{'spotify': 'https://open.spotify.com/track/4CLf6A64qIzDHoP5lOonsP'},https://api.spotify.com/v1/tracks/4CLf6A64qIzDHoP5lOonsP,4CLf6A64qIzDHoP5lOonsP,False,True,Friends (feat. ScHoolboy Q),57,https://p.scdn.co/mp3-preview/da3433d69bb81343a9d4249cd7aa3889262f1dd1?cid=d1ecea0a2c2e48698143f80110609734,3,track,spotify:track:4CLf6A64qIzDHoP5lOonsP,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}]",1,222670,True,{'isrc': 'USWB12103313'},{'spotify': 'https://open.spotify.com/track/1RkPqBGgFNPxdzlGD2Ar0m'},https://api.spotify.com/v1/tracks/1RkPqBGgFNPxdzlGD2Ar0m,1RkPqBGgFNPxdzlGD2Ar0m,False,True,Angel Dust,62,https://p.scdn.co/mp3-preview/d2c5bf93d5345db6b4f5e223ecedc16979f0092d?cid=d1ecea0a2c2e48698143f80110609734,4,track,spotify:track:1RkPqBGgFNPxdzlGD2Ar0m,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}]",1,211680,True,{'isrc': 'USWB12103314'},{'spotify': 'https://open.spotify.com/track/7x88A9fiVvMLGBTG6UMJa4'},https://api.spotify.com/v1/tracks/7x88A9fiVvMLGBTG6UMJa4,7x88A9fiVvMLGBTG6UMJa4,False,True,Malibu,54,https://p.scdn.co/mp3-preview/c7393b33c469755d54ac22a20fd29bce1c06ba9d?cid=d1ecea0a2c2e48698143f80110609734,5,track,spotify:track:7x88A9fiVvMLGBTG6UMJa4,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2F3zBRfrDfm2FyNT0YKyAx'}, 'href': 'https://api.spotify.com/v1/artists/2F3zBRfrDfm2FyNT0YKyAx', 'id': '2F3zBRfrDfm2FyNT0YKyAx', 'name': 'Sir Michael Rocks', 'type': 'artist', 'uri': 'spotify:artist:2F3zBRfrDfm2FyNT0YKyAx'}]",1,232298,True,{'isrc': 'USWB12103315'},{'spotify': 'https://open.spotify.com/track/6HQC66NOPyXDy4TEoO6WDE'},https://api.spotify.com/v1/tracks/6HQC66NOPyXDy4TEoO6WDE,6HQC66NOPyXDy4TEoO6WDE,False,True,What Do You Do (feat. Sir Michael Rocks),52,https://p.scdn.co/mp3-preview/ecb94e7fe36a3c8f68ef4af2197e00235be37789?cid=d1ecea0a2c2e48698143f80110609734,6,track,spotify:track:6HQC66NOPyXDy4TEoO6WDE,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}]",1,216702,True,{'isrc': 'USWB12103316'},{'spotify': 'https://open.spotify.com/track/1ijgY6IDvx5TwwfidroUsj'},https://api.spotify.com/v1/tracks/1ijgY6IDvx5TwwfidroUsj,1ijgY6IDvx5TwwfidroUsj,False,True,It Just Doesn’t Matter,52,https://p.scdn.co/mp3-preview/e874333db49fdf162ffb9bec1d9b79df7398573f?cid=d1ecea0a2c2e48698143f80110609734,7,track,spotify:track:1ijgY6IDvx5TwwfidroUsj,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}]",1,248730,True,{'isrc': 'USWB12103317'},{'spotify': 'https://open.spotify.com/track/1GrnyQe1SFOb1T5vb5T54q'},https://api.spotify.com/v1/tracks/1GrnyQe1SFOb1T5vb5T54q,1GrnyQe1SFOb1T5vb5T54q,False,True,Therapy,57,https://p.scdn.co/mp3-preview/e1e66cd521e3f2be2e0dc72f1addd624b3d4f4be?cid=d1ecea0a2c2e48698143f80110609734,8,track,spotify:track:1GrnyQe1SFOb1T5vb5T54q,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu'}, 'href': 'https://api.spotify.com/v1/artists/3A5tHz1SfngyOZM2gItYKu', 'id': '3A5tHz1SfngyOZM2gItYKu', 'name': 'Earl Sweatshirt', 'type': 'artist', 'uri': 'spotify:artist:3A5tHz1SfngyOZM2gItYKu'}]",1,211682,True,{'isrc': 'USWB12103318'},{'spotify': 'https://open.spotify.com/track/367HmvU5MpsWZdAJ3QbGlZ'},https://api.spotify.com/v1/tracks/367HmvU5MpsWZdAJ3QbGlZ,367HmvU5MpsWZdAJ3QbGlZ,False,True,Polo Jeans (feat. Earl Sweatshirt),58,https://p.scdn.co/mp3-preview/8d80b4e8c4e179bac18f5210c918ff48b7c48ba3?cid=d1ecea0a2c2e48698143f80110609734,9,track,spotify:track:367HmvU5MpsWZdAJ3QbGlZ,Mac Miller
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5SKnXCvB4fcGSZu32o3LRY'}, 'href': 'https://api.spotify.com/v1/albums/5SKnXCvB4fcGSZu32o3LRY', 'id': '5SKnXCvB4fcGSZu32o3LRY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4251cf5331ad74eaaeca36e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4251cf5331ad74eaaeca36e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4251cf5331ad74eaaeca36e', 'width': 64}], 'name': 'Faces', 'release_date': '2021-10-15', 'release_date_precision': 'day', 'total_tracks': 25, 'type': 'album', 'uri': 'spotify:album:5SKnXCvB4fcGSZu32o3LRY'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U'}, 'href': 'https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U', 'id': '4LLpKhyESsyAXpc4laK94U', 'name': 'Mac Miller', 'type': 'artist', 'uri': 'spotify:artist:4LLpKhyESsyAXpc4laK94U'}]",1,168819,True,{'isrc': 'USWB12103319'},{'spotify': 'https://open.spotify.com/track/7ni2QpeyhKLJIb18IJTBHc'},https://api.spotify.com/v1/tracks/7ni2QpeyhKLJIb18IJTBHc,7ni2QpeyhKLJIb18IJTBHc,False,True,Happy Birthday,53,https://p.scdn.co/mp3-preview/c22b8c7f91c45abedd308da73edbe137f8ac1c3d?cid=d1ecea0a2c2e48698143f80110609734,10,track,spotify:track:7ni2QpeyhKLJIb18IJTBHc,Mac Miller
