album,artists,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,artist
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,300893,False,{'isrc': 'USGF19942501'},{'spotify': 'https://open.spotify.com/track/4TMhakloPMPS84lNHNTSa3'},https://api.spotify.com/v1/tracks/4TMhakloPMPS84lNHNTSa3,4TMhakloPMPS84lNHNTSa3,False,True,Smells Like Teen Spirit - Remastered 2021,48,,1,track,spotify:track:4TMhakloPMPS84lNHNTSa3,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,254533,False,{'isrc': 'USGF19942502'},{'spotify': 'https://open.spotify.com/track/2hJ2EY0LekqGQOFoROEdCj'},https://api.spotify.com/v1/tracks/2hJ2EY0LekqGQOFoROEdCj,2hJ2EY0LekqGQOFoROEdCj,False,True,In Bloom - Remastered 2021,46,,2,track,spotify:track:2hJ2EY0LekqGQOFoROEdCj,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,218920,False,{'isrc': 'USGF19942503'},{'spotify': 'https://open.spotify.com/track/1MsfdAHNRX2T1BWmkpj87C'},https://api.spotify.com/v1/tracks/1MsfdAHNRX2T1BWmkpj87C,1MsfdAHNRX2T1BWmkpj87C,False,True,Come As You Are - Remastered 2021,46,,3,track,spotify:track:1MsfdAHNRX2T1BWmkpj87C,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,183333,False,{'isrc': 'USGF19942504'},{'spotify': 'https://open.spotify.com/track/5scxJnxEkTHdBUAt380WvS'},https://api.spotify.com/v1/tracks/5scxJnxEkTHdBUAt380WvS,5scxJnxEkTHdBUAt380WvS,False,True,Breed - Remastered 2021,44,,4,track,spotify:track:5scxJnxEkTHdBUAt380WvS,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,256398,False,{'isrc': 'USGF19942505'},{'spotify': 'https://open.spotify.com/track/2kqtHm0tMQt3siFstCmZ7I'},https://api.spotify.com/v1/tracks/2kqtHm0tMQt3siFstCmZ7I,2kqtHm0tMQt3siFstCmZ7I,False,True,Lithium - Remastered 2021,45,,5,track,spotify:track:2kqtHm0tMQt3siFstCmZ7I,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,174133,False,{'isrc': 'USGF19942506'},{'spotify': 'https://open.spotify.com/track/7sRCNXJwpNnG2QHMbc3YDL'},https://api.spotify.com/v1/tracks/7sRCNXJwpNnG2QHMbc3YDL,7sRCNXJwpNnG2QHMbc3YDL,False,True,Polly - Remastered 2021,42,,6,track,spotify:track:7sRCNXJwpNnG2QHMbc3YDL,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,143093,False,{'isrc': 'USGF19942507'},{'spotify': 'https://open.spotify.com/track/2eMi5NrN8a5AAeo4xy87Hw'},https://api.spotify.com/v1/tracks/2eMi5NrN8a5AAeo4xy87Hw,2eMi5NrN8a5AAeo4xy87Hw,False,True,Territorial Pissings - Remastered 2021,41,,7,track,spotify:track:2eMi5NrN8a5AAeo4xy87Hw,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,223733,False,{'isrc': 'USGF19942508'},{'spotify': 'https://open.spotify.com/track/0WjXWg5siGyu2aNhs4ROK2'},https://api.spotify.com/v1/tracks/0WjXWg5siGyu2aNhs4ROK2,0WjXWg5siGyu2aNhs4ROK2,False,True,Drain You - Remastered 2021,43,,8,track,spotify:track:0WjXWg5siGyu2aNhs4ROK2,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,156586,True,{'isrc': 'USGF19942509'},{'spotify': 'https://open.spotify.com/track/5L9kgzrhy9IpgYEPD0624C'},https://api.spotify.com/v1/tracks/5L9kgzrhy9IpgYEPD0624C,5L9kgzrhy9IpgYEPD0624C,False,True,Lounge Act - Remastered 2021,41,,9,track,spotify:track:5L9kgzrhy9IpgYEPD0624C,Nirvana
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5eA0qtE7Yu29XiMlwoby2G'}, 'href': 'https://api.spotify.com/v1/albums/5eA0qtE7Yu29XiMlwoby2G', 'id': '5eA0qtE7Yu29XiMlwoby2G', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739aa37e5baca62ca6cc98d056', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029aa37e5baca62ca6cc98d056', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519aa37e5baca62ca6cc98d056', 'width': 64}], 'name': 'Nevermind (30th Anniversary Super Deluxe)', 'release_date': '2021-11-12', 'release_date_precision': 'day', 'total_tracks': 75, 'type': 'album', 'uri': 'spotify:album:5eA0qtE7Yu29XiMlwoby2G'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh'}, 'href': 'https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh', 'id': '6olE6TJLqED3rqDCT0FyPh', 'name': 'Nirvana', 'type': 'artist', 'uri': 'spotify:artist:6olE6TJLqED3rqDCT0FyPh'}]",1,211693,False,{'isrc': 'USGF19942510'},{'spotify': 'https://open.spotify.com/track/0DSB5Os8yvk4lDUNTaO30D'},https://api.spotify.com/v1/tracks/0DSB5Os8yvk4lDUNTaO30D,0DSB5Os8yvk4lDUNTaO30D,False,True,Stay Away - Remastered 2021,40,,10,track,spotify:track:0DSB5Os8yvk4lDUNTaO30D,Nirvana
